,head,qa,rel,ans
2248,m.016zjj,where to fly in for galapagos islands,['location.location.nearby_airports'],m.0405q0f|m.0405q2v
2249,m.01xyt7,who has tom brady played for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.05g3b|m.0fsb_6
2250,m.03rjj,what are the major languages spoken in italy,['location.country.official_language'],m.02bjrlw
2251,m.0qpxs,what time is it in lake havasu city arizona,['location.location.time_zones'],m.02hczc
2252,m.0713r,what years have the giants won the world series,['sports.sports_team.championships'],m.0117q3yz|m.09gnk2r|m.0ds8qct
2253,m.036547,where did nick clegg go to prep school,['people.person.education|education.education.institution'],m.02qg0tp
2254,m.04g8d,where did laura bush grow up,['people.person.place_of_birth'],m.013n2h
2255,m.04vs9,what currency should i take to mauritius,['location.country.currency_used'],m.02scxb
2256,m.07z1m,which states share borders with virginia,['location.location.adjoin_s|location.adjoining_relationship.adjoins'],m.0498y|m.04rrd|m.05fkf|m.07h34|m.081mh
2257,m.07sz1,what is a judge in the supreme court called,['government.governmental_body.offices_positions'],m.07szk
2258,m.0403d,what did johannes kepler accomplish,['people.person.profession'],m.025rxky|m.04s2z|m.05snw|m.06q2q|m.0h9c
2259,m.02lt8,what college did edgar allan poe go to,['people.person.education|education.education.institution'],m.07x4c|m.0g8rj
2260,m.03hzplf,who is ellen albertini dow,['people.person.profession'],m.01d30f|m.02h6n_q|m.02hrh1q
2261,m.04jpl,what time zone is london in right now,['location.location.time_zones'],m.03bdv
2262,m.0d05w3,what kind of language do china speak,['location.country.official_language'],m.0653m
2263,m.0211mz,where is the singapore zoo,['location.location.containedby'],m.06t2t
2264,m.0gzh,what town was abe lincoln born in,['people.person.place_of_birth'],m.0tgmk
2265,m.019pcs,what do ethiopia import and export,['location.statistical_region.major_exports|location.imports_exports_by_industry.industry'],m.03q9x1t|m.03q9xnr|m.03qb65t
2266,m.0bvxv,who did the voice of kitt in knight rider,['tv.tv_program.regular_cast|tv.regular_tv_appearance.actor'],m.0309r1
2267,m.03ppx,what challenges did helen keller have to face,['base.qualia.disabled_person.disability|base.qualia.disability.type_of_disability'],m.014wq_|m.04t973
2268,m.02lvtb,who is andy williams brother,['people.person.sibling_s|people.sibling_relationship.sibling'],m.0qtj36r|m.0qtj5jc|m.0qtj6fq
2269,m.01w524f,where does morrissey live 2010,['people.person.places_lived|people.place_lived.location'],m.052bw
2270,m.04rmtv,what teams did jim harbaugh play for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.01ct6|m.01y3v|m.03wnh|m.06rpd|m.0fsb_6
2271,m.02pk0sd,who played atticus finch in the movie,['film.film_character.portrayed_in_films|film.performance.actor'],m.0k9j_
2272,m.011wgw,where did toussaint louverture live,['people.person.place_of_birth'],m.01f5d8
2273,m.0d05w3,what other countries share a border with china,['location.location.adjoin_s|location.adjoining_relationship.adjoins'],m.016zwt|m.01crd5|m.03_3d|m.03rk0|m.047lj|m.04hhv|m.04w8f|m.04xn_|m.05b7q|m.05sb1|m.06bnz|m.06f32|m.07bxhl|m.07dvs|m.0jdd|m.0jt3tjf
2274,m.02m29p,who has the voice of stewie griffin,['tv.tv_character.appeared_in_tv_program|tv.regular_tv_appearance.actor'],m.021yw7
2275,m.042dk,what party did john tyler belong to,['government.politician.party|government.political_party_tenure.party'],m.07wdw|m.0d075m
2276,m.07b_l,who is the senator of the state of texas,['government.political_district.representatives|government.government_position_held.office_holder'],m.016l53|m.01rpmr|m.01xcqs|m.02050j|m.021nlp|m.028356y|m.02dcc4|m.02pv3w|m.02wv_6|m.037_c0|m.037f5r|m.03r6tl|m.03w4ln|m.03x_db|m.03yvp9|m.0452c9|m.04l_mk|m.053fln|m.053zcg|m.06j9dp|m.06yjdd|m.06yjq_|m.06ym7b|m.07j6ty|m.07jjx6|m.07k6x2|m.07p913|m.084vl0|m.089hd7|m.08fbq9|m.0f7fy|m.0gbjz
2277,m.030697,who is jensen ackles in a relationship with,['people.person.spouse_s|people.marriage.spouse'],m.0dphkz
2278,m.0myj0,who is the voice actor for eric cartman,['tv.tv_character.appeared_in_tv_program|tv.regular_tv_appearance.actor'],m.01_x6v
2279,m.03bkbh,what language do irish people speak,['people.ethnicity.languages_spoken'],m.0165vf|m.01bx1n|m.02h40lc|m.03nyl|m.03x42|m.0h407
2280,m.015fr,what is the currency used in brazil,['location.country.currency_used'],m.03385m
2281,m.04wlh,what money is used in mozambique,['location.country.currency_used'],m.05yxqw
2282,m.0hz_1,what illness does michael j fox have,['medicine.notable_person_with_medical_condition.condition'],m.0g02vk
2283,m.04f_xd8,who is the governor of indiana 2012,['government.government_office_or_title.office_holders|government.government_position_held.office_holder'],m.048v04
2284,m.0240vt,who did jerry rice retire with,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.06rny
2285,m.027rn,what are the official languages of the dominican republic,['location.country.official_language'],m.06nm1
2286,m.01wgcvn,what movie queen latifah play in,['film.actor.film|film.performance.film'],g.11bc95kg2q|m.010p_crb|m.01345yx_|m.01370796|m.016f62|m.01cmp9|m.01yzjg|m.027j9wd|m.02b5v3|m.02ntj8|m.02rg6sm|m.02wc6sp|m.02z84b3|m.032knp|m.03c3vl6|m.03cljvq|m.03l6q0|m.04f9bz6|m.04rncw|m.054vql|m.0569lx|m.05bzxn0|m.05p46dv|m.05rkmv|m.05zynv8|m.06_wqk4|m.060p1m|m.06bks2|m.06fwns|m.06n95j|m.07_3vm|m.0729rh|m.07kbj2s|m.07nt4j|m.08qsz2|m.08w51z|m.0bm2nq|m.0bt3j9|m.0bvpwc6|m.0c3_662|m.0crt91p|m.0crv_pd|m.0crvchf|m.0crvfd7|m.0crw1rn|m.0crw75p|m.0crxknq|m.0cryhb4|m.0cs2r3l|m.0cs45fr|m.0cs85c7|m.0ds27b|m.0fpgp26|m.0g54bw9|m.0gym9j6|m.0j24hls|m.0j72nq9|m.0kvh49|m.0v_w91n
2287,m.0194xc,where was ted kennedy buried,['people.deceased_person.place_of_burial'],m.0lbp_
2288,m.0h7h6,what state toronto located,['base.biblioness.bibs_location.state'],m.05kr_
2289,m.051cc,where did dr martin luther king get his doctorate,['people.person.education|education.education.institution'],m.0gl5_
2290,m.0846v,who is the governor of wyoming currently,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.02rzfbm
2291,m.0135dr,who was the president of indian national congress,['organization.organization.leadership|organization.leadership.person'],m.016rwt
2292,m.02k54,where do most of the people in egypt live,['location.location.contains'],m.080msrv
2293,m.019fz,where was benjamin franklin raised,['people.person.place_of_birth'],m.01cx_
2294,m.025tvhm,what language does egyptians use,['location.country.languages_spoken'],m.012zfy|m.025rvv7|m.02hx2cr|m.02hxbhg|m.035t_3|m.03wc2kf|m.051bnt|m.0c4chg|m.0jzc|m.02hx2cr|m.02hxbhg|m.09l28s|m.0cn75|m.0czqr
2295,m.01xrrm,where do people speak burmese,['language.human_language.main_country'],m.04xn_
2296,m.03rjj,what money do they have in italy,['location.country.currency_used'],m.02l6h
2297,m.06mkj,what is the name of the capital of spain,['location.country.capital'],m.056_y
2298,m.0jdd,what is afghanistan money called,['location.country.currency_used'],m.019vxc
2299,m.0hmyfsv,where are facebook headquarters located,['organization.organization.headquarters|location.mailing_address.citytown'],m.0qcrj
2300,m.06cmp,what was the roman political system,['location.country.form_of_government'],m.0d8tn
2301,m.013yq,what is atlanta ga famous for,['olympics.olympic_host_city.olympics_hosted'],m.0jhn7
2302,m.05b7q,what government type is north korea,['location.country.form_of_government'],m.01gt0n|m.025tbxf|m.0py4y
2303,m.01wd_7,where is the pepsi center,['location.location.containedby'],m.02cl1
2304,m.0c8kc,who plays hermione granger,['film.film_character.portrayed_in_films|film.performance.actor'],m.0134w7
2305,m.051mn,what inspired m.c. escher to become an artist,['influence.influence_node.influenced_by'],m.015g76
2306,m.0713r,what year did giants win world series,['sports.sports_team.championships'],m.0117q3yz|m.09gnk2r|m.0ds8qct
2307,m.03shp,what kind of government iran have,['location.country.form_of_government'],m.018wl5|m.01d9r3|m.01fgl7|m.01fpfn|m.07lg6
2308,m.04rcr,where does the band metallica live,['music.artist.origin'],m.030qb3t
2309,m.01wmhq,who plays jason gideon,['film.film_character.portrayed_in_films|film.performance.actor'],m.033xr_|m.04y8c2p|m.05h41sp|m.07qgql|m.07qgr8|m.0bbb_8y|m.0br44q|m.0crt01|m.0crt3v|m.0crt58|m.0gxbnjs|m.0t4z_zj
2310,m.0h7h6,what province is toronto canada located in,['base.biblioness.bibs_location.state'],m.05kr_
2311,m.028rk,where did president eisenhower go to college,['people.person.education|education.education.institution'],m.01w885|m.031d6r|m.07x4c
2312,m.0flw86,what are the gods of islam,['religion.religion.deities'],m.055v4c|m.0d05l6|m.0jfd
2313,m.0cl9qq,what was vasco nunez de balboa original purpose of his journey,['people.person.profession'],m.040vc4s|m.0fj9f
2314,m.04qv66,what team did kaka play for in 2009,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.011v3|m.01352_|m.06l22
2315,m.0d05w3,what political system is in china,['location.country.form_of_government'],m.01fkst|m.025tbxf|m.0py4y
2316,m.02qwg,what guitar did clapton play,['music.guitarist.guitars_played'],m.01jyd4|m.02m873
2317,m.0197d5,who did joseph from the bible marry,['people.person.spouse_s|people.marriage.spouse'],m.02xvr8
2318,m.0bxzr,what did sir john frederick william herschel do,['law.inventor.inventions'],m.01m_1t|m.03ktb0|m.03yvzv
2319,m.05k7sb,what is a famous person from massachusetts,['location.location.people_born_here'],g.11b6c5t56n|g.12182mpb|m.0_11x26|m.0_495jn|m.0_hmy9q|m.0_lz4dd|m.0_rg1yy|m.0_sgsmp|m.0_y9kht|m.0_zdd1k|m.0102tc_f|m.01065s_c|m.010cvfvm|m.010f1l3k|m.010l14m_|m.010lq4l8|m.010ptjfz|m.010xfcwh|m.010y6pd6|m.011309n3|m.0114ptk4|m.0116qzm6|m.011cks25|m.011m484z|m.011m9ytn|m.011n69w8|m.011q_lb0|m.011q7vrv|m.011qgyz4|m.012_0l3m|m.012c5r5k|m.012nq0c9|m.012vpjd9|m.012yp7|m.012zr1qr|m.013337gp|m.0134d1_h|m.01gkhl|m.01kzxlr|m.01mr0y|m.01pc1tl|m.01snlmk|m.01ttn_z|m.01v1vns|m.01vstml|m.01w08mk|m.01w3bfq|m.01w8yj4|m.01wdgp1|m.01xtl|m.01y8yn|m.02_09y|m.02_7c5h|m.0261krh|m.0261ktk|m.0265366|m.0265pwb|m.0267y1b|m.02696t8|m.026dmqh|m.026hxlm|m.026m4j3|m.026p1hs|m.026pytl|m.026zbv1|m.027756c|m.0278g4s|m.027gmjv|m.027gyp5|m.027jgzw|m.027jpn1|m.027l7gh|m.027m0k7|m.027mr00|m.027nlt6|m.027vk4r|m.027wnrx|m.027zsy5|m.028026q|m.02802t9|m.0280hbw|m.0281cst|m.0284qvc|m.0287zw1|m.02bflj|m.02cnb2|m.02nxdyy|m.02pgz9x|m.02pkj9b|m.02pktl7|m.02pmvwh|m.02pqmw|m.02prrcv|m.02pt9p5|m.02ptzwz|m.02pv_yp|m.02pv8ly|m.02pvnvk|m.02pyj0j|m.02q12mp|m.02q54xh|m.02qcrhk|m.02qfr_2|m.02qhwyc|m.02qjvqn|m.02qmwv0|m.02qrr4d|m.02qw4s5|m.02qwxt5|m.02r0x69|m.02r6m78|m.02rfpsy|m.02rhcn_|m.02rhgz5|m.02rjz2r|m.02rjz6w|m.02rkhs7|m.02rktxd|m.02rm8_m|m.02rq084|m.02rqjm5|m.02rr1v2|m.02rtngn|m.02s0t_|m.02s50f|m.02v_91|m.02vmqd8|m.02vqq01|m.02w__lr|m.02w1gfl|m.02w4cz3|m.02wbz38|m.02wz0h9|m.02x40rp|m.02x6mvv|m.02x73ll|m.02x841b|m.02z0k65|m.03_mc4|m.030km6|m.036h6_|m.037186|m.039704|m.03bztc0|m.03c_fvj|m.03c_sqx|m.03c13p|m.03c288m|m.03c5vd4|m.03c75bh|m.03c7s9b|m.03c9vx0|m.03cglsz|m.03cjrm7|m.03cjyzp|m.03cl540|m.03cm82x|m.03cq28y|m.03cywfp|m.03czl4w|m.03d1vd_|m.03d3vj|m.03d5p6r|m.03d6by2|m.03d8m6s|m.03f43j5|m.03gj4w0|m.03gx88l|m.03gzvmq|m.03hlh_f|m.03hlj03|m.03j129t|m.03jkw3|m.03md0ml|m.03mhn_n|m.03mhydj|m.03np228|m.03nsyfr|m.03p_bl|m.03q94c|m.03qbdgh|m.03qfpvw|m.03qkjwt|m.03qm_s3|m.03qnjgj|m.03qnjrg|m.03sxxm|m.03wbq_h|m.03wj56t|m.03xpcxn|m.03y1tqn|m.03y6k59|m.03yl_x5|m.03ynf1k|m.0404n0w|m.04050gt|m.0406p7g|m.040828f|m.0408fs0|m.0411mx3|m.0412__7|m.041222r|m.04172r0|m.043ln58|m.043nczy|m.043p8hb|m.043q055|m.043w9_v|m.0458fnw|m.0463bjp|m.047lrtq|m.047sc3d|m.04c9c0|m.04cwld9|m.04cxwk|m.04f88x7|m.04fkh7|m.04fs3c|m.04g_84|m.04gmfkf|m.04gp7t0|m.04grpgh|m.04jk9kz|m.04kzyb|m.04lf_vb|m.04lgdtt|m.04m04p|m.04n5c8c|m.04p6hw|m.04pzlv|m.04q3r_h|m.04q9zr9|m.04shhz|m.04swnd4|m.04y6w2w|m.04y9hf|m.04yf2w3|m.04ygd13|m.04yhg3h|m.04yq0ck|m.04zyk0q|m.051w94p|m.051yndp|m.0520cy9|m.0522491|m.05227v4|m.0544h4q|m.055rm|m.057vbx|m.05b_2z6|m.05c08qw|m.05c0lbq|m.05c2nqp|m.05fb98l|m.05g03n|m.05kpdn|m.05mwwwg|m.05n5f_|m.05p0t_d|m.05pbtkq|m.05psnr|m.05q3yb_|m.05q6z8t|m.05syzqk|m.05t0h35|m.05w1mx2|m.05wbw29|m.05wkm7|m.05wr_74|m.05wxnxy|m.05x1hv3|m.05x1jq_|m.05xbmx1|m.05xjxr2|m.05ybjwx|m.05ydw5c|m.05yv9x6|m.05zkfmg|m.05zm2kf|m.05zw6nj|m.06_ttkq|m.063ycfc|m.063yyv0|m.063zngd|m.064j3d|m.064ljbf|m.064lnmx|m.064n3hd|m.065_bym|m.067ckc|m.06850l|m.06bfdx|m.06ccw6|m.06fwpx|m.06grz5|m.06hty5|m.06mx65|m.06nqm2|m.06q29q|m.06q4pt|m.06r4zx|m.06t0pd|m.06tsj0|m.06w3_df|m.06w6_3z|m.06w6kfs|m.06zl5k0|m.06zq5_3|m.06zsh5r|m.06zy_m|m.0733pb|m.074l9m|m.076vvnb|m.076xw1t|m.0795gp|m.07c9xg|m.07fzk2|m.07k5vw6|m.07k6__p|m.07k7msm|m.07k8rmh|m.07khjs1|m.07khk72|m.07l7pl|m.07ldz0|m.07m5zv|m.07s4scl|m.07s617j|m.07s6ll_|m.07s7dv0|m.07sbt0k|m.07sc8kj|m.07tgjq|m.07vl4h|m.07zr9q|m.07zz96|m.080d5wg|m.081grz|m.081qd7|m.084zfj|m.0859s1|m.089t7n|m.089ywr|m.08dtt4|m.08jq80|m.08l42v|m.08mx5t|m.08nwz8|m.08psk8|m.08rmf5|m.08rmvd|m.08sw_f|m.08vrx_|m.08yxss|m.09312p|m.096tz0|m.097k5d|m.098lfzk|m.09ckcs|m.09cxf_|m.09g1wj|m.09g3y1|m.09gcll7|m.09gkgpx|m.09gkjt3|m.09gm8v2|m.09gp2g3|m.09gp77|m.09gq3lk|m.09jvd2|m.09jx6xy|m.09k51lr|m.09k54jf|m.09l6h4|m.09lc2y|m.09rsqr2|m.09rxsr7|m.09ry21|m.09ttp8|m.09v2k5_|m.09v616q|m.09v6hf0|m.09v8qs0|m.09vpwb|m.09vrzx7|m.09w9qb|m.09yhlv|m.09zx9c1|m.0b_09_|m.0b11j1|m.0b6b5x0|m.0b6hsgp|m.0b6jq2z|m.0b6llbf|m.0b6nn1p|m.0b7556c|m.0bbt82|m.0bbxg09|m.0bdjfw|m.0bh7lxg|m.0bh8dpd|m.0bhc7qc|m.0bhqdhw|m.0bmcsph|m.0bmg1fp|m.0bq5d1|m.0bqwn2v|m.0bqx2y4|m.0br9v8y|m.0brk2q|m.0bs92xl|m.0bv_sn|m.0bv5ssk|m.0bvfh2|m.0bw0_f|m.0bwgvbf|m.0bwk7db|m.0bwqg2|m.0bx_bbq|m.0by0sdq|m.0bybcd8|m.0c01mq6|m.0c3236|m.0c3wkmj|m.0c3ymzq|m.0c3yyy1|m.0c406sp|m.0c40grf|m.0c46gpm|m.0c49sx|m.0c4d7gq|m.0c4tqkb|m.0c5b1c7|m.0c5b453|m.0c6kcc|m.0c8wqh|m.0cd_9z|m.0ch2tpm|m.0ch41d4|m.0ch4t30|m.0ch4yqy|m.0ch58c0|m.0ch5gvr|m.0clrtf|m.0cmbzx1|m.0cmn12|m.0cn_qpc|m.0cnyt7z|m.0crd7yb|m.0ctn2z|m.0cvx5f|m.0cy3r2|m.0cz996y|m.0cz9gt4|m.0d09fl|m.0d15nd|m.0d2kmf|m.0d4b1m|m.0d8vkl|m.0d9h2s2|m.0dbrr9|m.0dc9zg|m.0dg_4f|m.0dgpyqt|m.0dgqfbl|m.0dgrn7j|m.0dl6x10|m.0dmmvj|m.0ds9q6|m.0dyygv|m.0f23dw|m.0f75b8|m.0fkfgq|m.0fkvz5|m.0fpg_nk|m.0fphhf6|m.0fphkd1|m.0fpj6nz|m.0fpjpdw|m.0fpv5b|m.0fpwjv0|m.0fq22ny|m.0fsxt7|m.0fw_nv_|m.0g_397|m.0g0f7y|m.0g5rfcb|m.0g5stzx|m.0g5wqs|m.0g61rw|m.0g8r68p|m.0g9p0_y|m.0g9tgh4|m.0g9vfx9|m.0gbxsqb|m.0gbyffk|m.0gbypg0|m.0gbzbwp|m.0gbzcqn|m.0gbzt_r|m.0gbzymd|m.0gc3635|m.0gc5_x8|m.0gc56g4|m.0gc700j|m.0gc7ysb|m.0gcg5dt|m.0gcj2hf|m.0gcx7hy|m.0gd4n_|m.0gdkfxp|m.0gdlmlm|m.0gdwkl|m.0gfdq47|m.0gfgr5t|m.0gfjnd2|m.0gg738p|m.0gg816t|m.0ggb0cq|m.0ghnhd|m.0gjbn3c|m.0glrk5j|m.0glsh59|m.0gmbtl8|m.0gp2gk|m.0gtvmn2|m.0gvvj2y|m.0gxlws|m.0gy140k|m.0gykh0f|m.0gysdg7|m.0h_bw54|m.0h0_yzw|m.0h19cs|m.0h1bl49|m.0h39tjn|m.0h3r5h0|m.0h5ms_t|m.0h5v96|m.0h63rh3|m.0h7p4cp|m.0h8_rxm|m.0h820d8|m.0h8gkg9|m.0h94yc9|m.0hhv167|m.0hmyvsp|m.0hn0147|m.0hn014n|m.0hn0338|m.0hn0z6g|m.0hncb5y|m.0hp8l7_|m.0hpc6p3|m.0hpkwz5|m.0hpn5rw|m.0hpp8cb|m.0hprnpg|m.0hr61k3|m.0hrfv6n|m.0hwv6v3|m.0hz_rhx|m.0hz24p0|m.0j_38zv|m.0j_4d9s|m.0j_lf37|m.0j2597m|m.0j3dj9w|m.0j66wsz|m.0j6hz78|m.0j7kkl2|m.0j9kvjv|m.0jk_9c3|m.0jkynh6|m.0jkzjz4|m.0jsdhv9|m.0jwltb0|m.0jwltc5|m.0jwxpq3|m.0jxhl2|m.0k078hs|m.0k084zz|m.0k2d1f8|m.0k2kb38|m.0k5126|m.0k6m97v|m.0k7jsh|m.0k8y3m6|m.0knr0by|m.0kp557t|m.0kr_p3|m.0krr9pq|m.0ks3bh|m.0ks6z6|m.0lv8kwc|m.0lz0cts|m.0m0hf84|m.0mv2lys|m.0n_fd3v|m.0n3lvtm|m.0n47hzc|m.0n5_t14|m.0n59sw7|m.0n5xyqj|m.0n63spz|m.0n63sv3|m.0n63tjs|m.0n7xs90|m.0n8_754|m.0n9c526|m.0n9fd4l|m.0n9pyq6|m.0nbm9xn|m.0nbvntc|m.0nhjq04|m.0nhprdf|m.0p0c0ym|m.0p13hj5|m.0p7fx7h|m.0p8zz3g|m.0pclsr_|m.0pd7mnm|m.0pdcx7l|m.0pdq707|m.0pl3k7x|m.0qgww3d|m.0qztn6w|m.0r4xwj6|m.0r5zymb|m.0r8fygq|m.0rhmhrm|m.0rhv5p3|m.0rpgm28|m.0s9k1k2|m.0s9np_x|m.0t_8dfn|m.0t_8f5k|m.0t_jl9p|m.0t4_jb2|m.0t4s10f|m.0t4xlrz|m.0t5w__v|m.0tkf5wy|m.0tkjs27|m.0tkt0wp|m.0tl5g9z|m.0tlsvm1|m.0tlsvm7|m.0tm4vlc|m.0v_1qdh|m.0v0n91k|m.0v10bd5|m.0v1khg5|m.0v1r6lm|m.0v1wjgt|m.0v2r0zg|m.0v3bst3|m.0v9cntf|m.0v9t8l6|m.0v9wn8w|m.0v9xb7b|m.0vs4_m9|m.0vxd33c|m.0vxvlbb|m.0vxxb2t|m.0vy7wjy|m.0vy8vgk|m.0vygn83|m.0w0fzm1|m.0w0yxbt|m.0w1qs54|m.0w2hzhd|m.0w47y34|m.0w48425|m.0w49dmm|m.0w5qgsn|m.0wbjl9f|m.0wcc5dx|m.0wf_g6w|m.0wzm2jn|m.0y7yv76|m.0y8ghf2|m.0yc95kw|m.0yqhdy3|m.0yvfxsc|m.0yvtfg5|m.0z3tyqz|m.0z40n9z|m.0z9y6xm|m.0zc0x7x|m.0zf6b_c|m.0zg03f2|m.0zn2dss|m.0zs7zfp|m.0zy0jw0
2320,m.0c2yrf,what college did joakim noah attend,['people.person.education|education.education.institution'],m.0j_sncb
2321,m.02z14n,what channel does anderson cooper come on,['people.person.employment_history|business.employment_tenure.company'],m.0gsgr
2322,m.0d05w3,what money do they use in china,['location.country.currency_used'],m.0hn4_
2323,m.0856z,where did wassily kandinsky work,['people.person.employment_history|business.employment_tenure.company'],m.018cy|m.01fy2s
2324,m.019x9z,where does jeb bush live,['people.person.places_lived|people.place_lived.location'],m.013n2h|m.0rn8q
2325,m.09889g,who influenced michael jackson,['influence.influence_node.influenced_by'],m.01b9db|m.01lc5|m.0407f|m.04ct6p|m.081nh
2326,m.06n3y,what all countries are in south america,['location.location.contains'],m.015fr|m.0165v|m.016wzw|m.01c995|m.01ls2|m.01nr2h|m.02wmy|m.034m8|m.0417l2t|m.05v10|m.06nnj|m.07twz|m.07ylj|m.0dkz7x|m.0jgd
2327,m.05vz3zq,who was the leader of the ussr in 1948,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.03_lf
2328,m.03_3d,what country does japan export to,['location.statistical_region.places_exported_to|location.imports_and_exports.exported_to'],m.01f08r|m.047t_|m.06tw8|m.07fsv|m.09c7w0|m.0d060g
2329,m.031t2,what ship did sir francis drake travel on,['boats.ship_owner.ships_owned|boats.ship_ownership.ship'],m.023rdn
2330,m.03kcyd,what did kellie martin play on,['film.actor.film|film.performance.film'],m.012gc447|m.014d_k|m.027bf_l|m.027bvlr|m.02r5cqg|m.02vvqfh|m.047tgmg|m.04cx77|m.04j0kjj|m.04j0rgr|m.04j102g|m.04j10hk|m.04j17yl|m.0636yq|m.06f18v|m.0798vws|m.0798vx4|m.0798vy1|m.0798vyd|m.07jy8w_|m.07k4r92|m.088jb3|m.09rsst4|m.09rxxv6|m.0b1tsc|m.0b450zf|m.0b6pnpl|m.0bdpx8q|m.0cm87r1|m.0fx7rm|m.0fygr7|m.0gkmdyh|m.0h_gxv2|m.0h3cn4m|m.0kl_dpw|m.0nb2sb7
2331,m.01s5nb,what does united church of christ believe,['religion.religion.is_part_of'],m.01lp8
2332,m.07qyl3,where is walton goggins from,['people.person.place_of_birth'],m.0lphb
2333,m.01r32,which province is calgary canada in,['base.biblioness.bibs_location.state'],m.0j95
2334,m.02mjmr,what university did barack obama attend,['people.person.education|education.education.institution'],m.014zws|m.01w5m|m.05q2c
2335,m.0347db,who is neil patrick harris dating,['celebrities.celebrity.sexual_relationships|celebrities.romantic_relationship.celebrity'],m.05xy4r
2336,m.0wmn,where is the capital city of assyrians,['location.country.capital'],m.02wkmf|m.05fym
2337,m.045c66,who is aidan quinn,['people.person.profession'],m.02hrh1q
2338,m.03shp,what type of political system is iran,['location.country.form_of_government'],m.018wl5|m.01d9r3|m.01fgl7|m.01fpfn|m.07lg6
2339,m.034tl,what do people from guam speak,['location.country.languages_spoken'],m.01vky1|m.02h40lc|m.01vky1|m.02h40lc
2340,m.0fn2g,what to do if you have one day in bangkok,['travel.travel_destination.tourist_attractions'],m.01c1gj|m.01d1vz|m.02816l2|m.02jh89|m.02pksll|m.02vnrfw|m.02wwf3f|m.03300t|m.03hlbr1|m.03hp67d|m.03nr91r|m.03t0m6|m.047sllp|m.04q452|m.05s69t|m.06nynb|m.07_w5j|m.07cz23|m.07dj1f|m.07qb9k|m.080c8kl|m.09dnj5|m.09qjqb|m.09rxcz|m.0fp635|m.0h6w70|m.0vb3kfz
2341,m.019fz,where was ben franklin born,['people.person.place_of_birth'],m.01cx_
2342,m.07z1m,what timezone is virginia in,['location.location.time_zones'],m.02_37z|m.02hcv8
2343,m.027rn,what is the dominican republic part of,['location.location.containedby'],m.01rll_|m.04pnx|m.059g4|m.07c5l|m.0jsr7mh
2344,m.05djw1,where did jerry spinelli live as a kid,['people.person.place_of_birth'],m.0_75d
2345,m.01p8s,what do costa ricans speak,['location.country.languages_spoken'],m.02hwk2m|m.04ygk0|m.06k02z|m.06nm1|m.06nm1
2346,m.02z3d24,where does spencer pratt go to school,['people.person.education|education.education.institution'],m.065y4w7
2347,m.01qmz,what did charles babbage make,['base.argumentmaps.innovator.original_ideas'],m.0nf_|m.029wv|m.0nf_
2348,m.012gkt,who played lt uhura,['film.film_character.portrayed_in_films|film.performance.actor'],m.012gl8|m.05qg6g
